SECCION_CO,LOTES,PREDIOS,UCensales,RazonUnidx,DifUC_Pred
68264300204,12,12,5,0.4,-7.0
68264300205,9,9,12,1.3,3.0
68264300301,8,8,8,1.0,0.0
68264300302,3,3,8,2.7,5.0
68264300303,81,81,95,1.2,14.0
68264300305,89,89,107,1.2,18.0
68264300401,110,110,126,1.1,16.0
68264300402,248,248,241,1.0,-7.0
68264300404,58,58,22,0.4,-36.0
68264300405,90,90,1,0.0,-89.0
68266300101,590,590,723,1.2,133.0
68266300102,465,467,540,1.2,73.0
68266300103,618,617,792,1.3,175.0
68271300101,162,162,318,2.0,156.0
68271300102,340,341,558,1.6,217.0
